[2026-05-29 16:26:00,191] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1473&slug=home-stuff
[2026-05-29 16:26:00,446] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1474&slug=baby-mother-care
[2026-05-29 16:26:00,573] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1470&slug=fruits-vegetables
[2026-05-29 16:26:00,679] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1468&slug=nuts-sweets
[2026-05-29 16:26:00,796] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1850&slug=multiples
[2026-05-29 16:26:01,276] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/8840?pC_Id=1467&slug=kalabarg
[2026-05-29 16:26:01,395] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/8840?pC_Id=1467&slug=refreshments
[2026-05-29 16:26:01,543] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/8840?pC_Id=1462&slug=dairy-products
[2026-05-29 16:26:01,688] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/8840?pC_Id=1461&slug=groceries
[2026-05-29 16:26:01,857] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/8840?pC_Id=1471&slug=home-hygiene
[2026-05-29 16:26:01,986] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/8840?pC_Id=1465&slug=beverages
[2026-05-29 16:26:02,132] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/8840?pC_Id=1469&slug=spices
[2026-05-29 16:26:02,265] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/8840?pC_Id=1464&slug=canned-ready-food
[2026-05-29 16:26:02,373] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/8840?pC_Id=1472&slug=cosmetics-hygiene
[2026-05-29 16:26:02,535] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/8840?pC_Id=1463&slug=proteins
[2026-05-29 16:26:02,659] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/8840?pC_Id=1466&slug=breakfast-goods
